Aircraft,AirlineName,CabinType,DateFlown,DatePub,EntertainmentRating,FoodRating,GroundServiceRating,OriginCountry,OverallScore,Recommended,Review,Route,SeatComfortRating,ServiceRating,Slug,Title,TravelType,TripVerified,ValueRating,WifiRating,unique_id
,Air Astana,Economy Class,Sep-19,10th September 2019,1,1,2,India,2,no,"Astana to Delhi via Almaty with Air Astana. Horrible experience, airlines delayed the flight but gave no updates or indications when the flight would go. They changed the pre blocked seats, shifted me from aisle to window, this is despite having a boarding card for aisle seat. When I complained to cabin crew, they were arrogant and told me you did not pay to block so we can move you if we want. They were not at all apologetic for the delay, on top of that they did not serve a proper meal saying that I had not made a special request, which is strange as I had not made a special request while coming into to Almaty as well, but the they served the meal. The passenger in the seat in front also had an issue and the stewardess was like you can write if you want it doesn’t matter.",Astana to Delhi via Almaty,4,1,air-astana,not at all apologetic for the delay,Solo Leisure,Trip Verified,1,0,2cdc3182-2d1b-4beb-8beb-253fb2b36fa5
,Air Astana,Economy Class,Jun-19,20th July 2019,3,3,1,Thailand,2,no,"Our flight from Baku to Nur-Sultan was supposed to depart at 11.50pm on 23 June 2019. However, due to mechanical problems, the flight got cancelled and we were rebooked on the flight at 11.50pm on 24 June 2019. Therefore, we were delayed to depart Baku for 24 full hours. The Air Astana ground staff in Baku Airport made absolutely no formal announcement in English about the process. So we did not know what to do and what to expect. Many passengers just formed a circle around the ground staff and it was a total chaos. The whole process took almost 5 hours from flight cancellation until we got our bags and left the airport. All passengers were very exhausted and we were not provided any food or drink during that time. We were provided food or drink for the first time around 6 hours after flight cancellation. It seems to me that Air Astana could not professionally handle flight delay/cancellation situations. I also requested Air Astana to provide us delay compensation according to the ""Air Astana Rules on Long Delay Cancellation and Denied Boarding"" policies on 28 June 2019. I have not heard from Air Astana since then.",Baku to Bangkok via Nur-Sultan,4,3,air-astana,it was a total chaos,Family Leisure,Trip Verified,2,0,dec6068b-1edb-4753-90b5-bacd1a8d3d22
,Air Astana,Economy Class,Jul-19,11th July 2019,4,4,4,Kazakhstan,9,yes,"Almaty to Moscow. Every time I used Air Astana I was always satisfied by the service provided and attention to every detail. Aircrafts are ideally clean, quality of food is good, personnel are professional and attentive. But this flight positively surprised me. New aircraft, updated stylish kits for passengers and especially children, comfortable chairs. I felt myself, like I was in business class! In general, compared with other airlines, Air Astana differs by its client orientation in every element of service: dessert choice, music, responding to requests, desire to do all that is possible to solve client issues, cleanness inside aircrafts - which is very important (blankets, toilets, etc).",Almaty to Moscow,5,5,air-astana,personnel are professional and attentive,Family Leisure,Not Verified,5,0,16545941-bbf9-4fb1-b6cd-badb7a0fced0
,Air Astana,Economy Class,Jul-19,3rd July 2019,0,0,1,UnitedArabEmirates,1,no,"Almaty to Dushanbe with Air Astana. Forced me off my flight during check in (plane was not cancelled, it was overbooked) even though I booked 3 months in advance. Staff said this happens everyday and could provide no help. They suggested I contact their office who has not responded to my questions. Staff even asked me to please complain because this happens so often and they are clearly sick of it. To avoid this problem for others, I would recommend not using this airline as they were extremely unprofessional and no one could answer my questions. I travel every month to many countries across Asia and have never been treated so poorly. Later, Air Astana replied to my compliant with A) Wrong flight/date, and B) blamed it on a travel agent (I didn't use a travel agent) and C) stated an email notification was sent when it was not. The fact that they will lie to invalidate my legitimate complaints shows the type of business they do.",Almaty to Dushanbe,1,1,air-astana,they were extremely unprofessional,Solo Leisure,Trip Verified,1,0,511d6ee4-d915-4ab3-911c-aeaa241939f4
,Aeromexico,Business Class,Mar-23,21st March 2023,3,1,2,Mexico,2,no,"Just such a terrible and dysfunctional airline starting with customer service. The app is terrible, service has no interest in being of service, business class is nothing of the sort. Stay away.",Orlando to Mexico City,2,2,aeromexico,terrible and dysfunctional airline,Business,Trip Verified,1,2,cf2bcff5-9f26-45ba-966f-dca3c29baa99
,Aeromexico,Premium Economy,Mar-23,16th March 2023,1,1,1,Canada,1,no,"I will never fly on this Airline again. From the terminal at AAA, and the entire flight reeked of Incompetence. Terminal 3 is a joke, similar to small airlines like Air Tobago. There were many Mexicans flying to Canada, and having them fill out their immigrations forms, was done one at a time, not in a bunch explaining. 40% of the AC/USB hubs in this disgusting terminal are DOA. Finding a vacant one is like looking for an oasis in the Sahara. Then the flight: I've never had Flight Attendants who were surly, but several of the FA's on Flight 616 were nasty. I have flown on almost every carrier in N. America, but have never been told that the washroom at the front of the plane was for First Class Only. So the rest of the plane, had two use 2 washrooms, with broken fixtures. No toilet paper, no paper towels, no soap. I was served a salmon pastry, when I told them I have a seafood allergy, they snarled at me to be quiet.",Mexico City to Toronto,1,1,aeromexico,FA's on Flight 616 were nasty,Solo Leisure,Trip Verified,1,1,f1b1c104-cb6c-4552-ba56-e5dac80566d0
Am 4102,Aeromexico,Economy Class,Aug-22,15th March 2023,0,1,1,UnitedStates,1,no,"My brother and I traveled for a music festival. One of Our flights were delayed, which caused one of our luggage to be left in the states couldn’t get a hold of customer service so we had to get an Uber back to the the airport which was over an hour away. We had 4 luggage and all four TSA approved locks were broken open and to our luggage is damaged. We had to replace one going to replace. Total cash value was USD$ 760 After 7 months I was only refund $ 203.81. Avoid the hassle and fly with someone else!",Philadelphia to Tijuana via Atlanta / Mexico city,3,3,aeromexico,fly with someone else!,Solo Leisure,Trip Verified,1,0,003e2783-f9fc-46aa-a195-de0e6b68e30a
,Aeromexico,Economy Class,Dec-22,10th March 2023,0,0,1,UnitedStates,1,no,"Charged for an incorrect booking/flight. I was in Mexico City airport at the ticketing counter. I asked for the earliest return flight to Phoenix. The man asked for my card and charged my card, then gave me the ticket. I asked why the destination was Houston TX and not Phoenix. I proceeded to ask for a refund or to have my flight changed. He said he could change the flight, after about an hour of waiting he now says that the flight cannot be changed and I cannot have a refund. I went over to volaris and bought a return ticket without issue. I cant believe these people can get away with scamming their customers. I contacted customer service but after months of the run around this is the message I'm finally sent ""I am sorry to inform you, I wasn't able to complete your request due to the fare purchased is not refundable and any clarification of purchase made directly at the airport has to be completed there. I apologize for the inconvenient, It was an honor to assist you. Cordially, Customer Care Representative"" Never do business with this scam company.",Mexico City to Houston,0,0,aeromexico,I cannot have a refund,Solo Leisure,Trip Verified,1,0,537cdd06-1aaf-4c1b-a101-ed8b3fe637ef
,Aeromexico,Premium Economy,Feb-23,28th February 2023,1,3,1,UnitedStates,1,no,"I’ve had two flights with Aeromexico and both times: Despite being told I would receive wheelchair assistance: none was provided. Nor was any accessibility assistance provided unless I went over their head and contacted the airport or the other airline I was flying with. On this last flight, my hip partially dislocated due to all the strain of managing things myself — something that I was trying to avoid. I’ve encountered issues before as someone who only needs mobility assistance in certain circumstances, but I have never encountered this level of ableism or neglect while flying. Flights were delayed by more than an hour. On the return flight this resulted in me and my companion missing two connections and having to travel an extended route to return home. Despite requests when booking, checking in, and at the counter, they were “unable” to seat me next to my travel companion even when we had more expensive seats and were willing to downgrade. Customer service hung up on me twice and chats failed for hours until I was finally directed to someone who instantly disconnected when I informed them of the gravity of the situation. They have refused to talk to me on both Facebook messenger or WhatsApp (they use both services for chat messaging) and their phone lines either don’t answer or I get hung up on. If you have any kind of disability or impairment, please avoid this airline at all costs.",Oaxaca to Mexico City,1,2,aeromexico,avoid this airline at all costs,Solo Leisure,Trip Verified,1,1,3634996c-8dbe-43c4-92f9-82abc091a427
,Aegean Airlines,Economy Class,May-23,2nd May 2023,0,1,1,UnitedStates,1,no,"Check-in uneventful. Boarding a zoo with a rude employee denying me boarding, claiming some zone story.  Upon boarding I found a number of passengers that were probably the right 'zone' since they were seated in the rear already. An old ATR POS that Aegean must likely keep to connect some small islands that cannot accommodate jets. Why they would use these consistently for the third largest Greek island is unclear to me. Once seated in 15C and having put my backpack above, I see the flight attendant pushing it to make space for someone's big suitcase. When I objected, she pulled it down and told me in the rudest way to put it under the seat in front of me. Said attendant did not wear a name tag.",Mytilini to Athens,1,1,aegean-airlines,did not wear a name tag,Business,Not Verified,1,0,f9c03bd6-bd21-4bab-a91e-1ef778131428
,Air Cairo,Economy Class,Apr-23,29th April 2023,1,1,1,UnitedKingdom,1,no,Worst airline experience I've ever had. Ruined my last day in Egypt. Spent a total of 10 hours in airport due to delays then when arrived in Cairo baggage was also delayed.  Aircraft dirty seats uncomfortable. I booked a tour and this was the flight they sent me on. Never book with this airline. It will ruin your holiday.,Luxor to Cairo,1,1,air-cairo,Never book with this airline,Solo Leisure,Trip Verified,1,1,309026b5-4146-42fb-a53d-7c9ebc4dfea7
A320 Neo,Air Cairo,Economy Class,Feb-23,11th March 2023,0,1,3,Germany,7,yes,Nice flights all on time with friendly staff for a good price. Non of the services offered could be purchased in advance (seats and meals) as all credit cards were rejected. Also shocked to see use of a kettle (!) On the floor behind row 1 in the galley!,Hurgada to Prague,3,4,air-cairo,all credit cards were rejected,Family Leisure,Not Verified,5,0,db04094d-d26e-47fd-9707-0c67714412a9
,Air Cairo,Economy Class,Dec-22,4th December 2022,1,0,1,Egypt,1,no,"Flight from Cairo to Hurghada was cancelled and they sent me an email at 10:00 pm,  8 hours before the flight time and what I didn’t realize that they also changed the airline to Egyptair. So it’s not the same terminal in Cairo, Terminal 3 instead of terminal which is 18 minutes by car. So I didn’t catch the flight and had to buy a new one way ticket for a flight after 3.5 hour! So after checking in to Hurghada airport for the return flight & everything was fine until the flight is delayed for 19:00 instead of 17:30 and my original booking was for 14:00 but they sent me an email 4 days ago that this flight is cancelled &amp. They chose to give me the sm 63 flight at 17:30. Conclusion: If you have any work on the day of the flight with this airline company be sure that you will not reach on time. Or maybe you will not reach the same day.",Hurghada to Cairo,2,4,air-cairo,they changed the airline to Egyptair,Solo Leisure,Trip Verified,2,1,c15656b9-955b-46d7-a19a-96949d10a51e
Airbus,Aer Lingus,Economy Class,May-23,8th May 2023,0,2,5,Ireland,10,yes,"Just flown Dublin to Alicante. Couldn't find a fault. Very pleasant staff on ground and in the air, but I still think hold luggage costs are are pure theft.",Dublin to Dublin via Alicante airport,2,5,aer-lingus,Very pleasant staff,Couple Leisure,Trip Verified,5,0,176748b8-ddb9-4bfe-8b98-ceef1ae10834
Boeing 777,Aeroflot Russian Airlines,Economy Class,Sep-19,10th September 2019,5,5,5,Canada,10,yes,"Vladivostok to Moscow. Very pleasant surprise, one of the best flights I've recently had. Aircraft was a bit dated but very comfy with a decent legroom. Being 6'3"" i didn't find it uncomfortable on 8 hours flight. The food is great, drinks selection could be better but nevertheless was OK. Toothbrush as well as slippers and eye-masks were provided which made the flight much better.",Vladivostok to Moscow,5,5,aeroflot-russian-airlines,one of the best flights,Couple Leisure,Trip Verified,5,0,5530af2e-5138-4bfe-921c-baa20efcd1c5
,Aeroflot Russian Airlines,Economy Class,Sep-19,10th September 2019,2,2,1,UnitedStates,3,no,New York to Moscow. I paid extra for seats before our trip to Moscow. My selection was 18 G and 18 F for both flights. But we received boarding passes for 23 row seats instead of 18 row. 23 is a lavatory row. I paid for service which have not been provided. I contacted Aeroflot for refund but I didn't get any money back.,New York to Moscow,1,2,aeroflot-russian-airlines,I didn't get any money back,Family Leisure,Trip Verified,3,0,6ad9462d-49d6-4dc7-9fa4-add84a46085a
,Aeroflot Russian Airlines,Economy Class,Sep-19,9th September 2019,0,0,1,UnitedStates,1,no,"Washington to Minsk via Moscow. As American citizens, you don’t need a visa to go to Belarus except if you fly to or from Russia. So we get to the airport, they tell us you can’t go. They didn’t want to help, rebook, provided no solutions. After 3 hours on the phone with the customer service, we rebooked and paid the change fees. Spend tons of money to get Russian and Belarus visa and fly out 2 weeks later. On the way back, the flight was delayed from Minsk to Moscow  which made us miss the connecting flight. they provided no solution to how we can get back home. Finally after fighting, they able to put us on a flight to miami. We had to pay extra for that as well and then we had to pay ourselves to go from Miami to dc. The experience was just unbelievable, never have we had such an atrocious experience and been treated the way we were.",Washington to Minsk via Moscow,1,1,aeroflot-russian-airlines,get visa and fly out 2 weeks later,Family Leisure,Trip Verified,1,0,1f415917-298c-4f4f-b630-dadf0e1c3965
,Aeroflot Russian Airlines,Economy Class,Aug-19,4th September 2019,0,3,4,Portugal,8,yes,"Kazan to Lisbon via Moscow. The flight departed a bit late, but the passengers were kept informed. The first leg went just fine, with a snack for a 90 min flight. Departing from Moscow, the gate was changed some three times, terminal included. And that us not nice. Also, the flight was late, despite people being informed and the profuse apologies onboard. The service went well - more smiling needed! - as staff were attentive (a mother asked for help to put the socks on her baby and the attendant promptly did so). The food was not so good on the flight to Lisbon, but there were two options on Economy.",Kazan to Lisbon via Moscow,4,4,aeroflot-russian-airlines,staff were attentive,Business,Trip Verified,5,0,8d7009b9-b41f-46e9-b305-58794471cdc9
,Aeroflot Russian Airlines,Economy Class,Aug-19,4th September 2019,0,4,5,Portugal,9,yes,"Another Aeroflot flight, another pleasant surprise: the check in is done early (so no need to rush and departure is in time), the service was fine (some more smiling would be grand) and we get a very good snack for a 90 min flight (chocolate included!).",Moscow to Kazan,4,3,aeroflot-russian-airlines,another pleasant surprise,Business,Trip Verified,5,0,26de7cad-c87b-4d7b-be5e-e09edefc1835
A320,Air Arabia,Economy Class,Jan-20,2nd March 2020,0,0,1,UnitedKingdom,1,no,"On the return trip from Marrakech to London, I was denied boarding (despite being at the checking counter with my family well before closing) because of overbooking on flight 3O105 at Marrakech Airport on 23/2/2020. The Swissport staff were rude and extremely unhelpful and just informed that there are only 3 spaces on the flight for the 4 of us- we were made to run around without any solution provided. The gentleman at the ticketing counter asked us to talk to the supervisor - who we had to find by asking around 5 other agents - finally, we were offered a rebook on a flight 3 days later but without any accomodation or compensation (for something that was clearly AirArabia issue - overbooking) which was not acceptable to us. Finally, I managed to sort out my own tickets on another airline spending own money despite having a confirmed ticket for which I paid full fare with Air Arabia.",London Gatwick to Marrakech,1,2,air-arabia,rude and extremely unhelpful,Family Leisure,Trip Verified,1,0,2e21387e-a451-4f7e-88ac-cb9a878f2f2f
,Air Arabia,Economy Class,Feb-20,2nd March 2020,0,0,1,Jordan,2,no,"Delhi to Amman via Sharjah. The flight was delayed for three and a half hours and the employees knew and did not inform the travelers except at the gate, and they did not answer our inquiries, and when they started answering, one of the employees who offended his rude manner, his answers, and his reactions to the travelers responded, and whenever we asked him something necessary like your internet service to tell our people Or our work was refusing, and he says this why didn’t matter to me, then we asked for food, and he did not respond yet after 3 hours, and when I asked him about my next trip, how will it be programmed? He did not give me an answer, and then an hour later, he said, often, I will wait for the next flight for each of the passengers who will continue their journey until his arrival.  تم تأخير الرحلة لثلاث ساعات ونصف وكان الموظفو ن يعلمون ولم يخبروا المسافرين الا عند البوابة، ولم يجيبوا عن استفساراتنا، وحين بدأوا يجيبون، تصدى للأمر أحد الموظفين الذي أساء بطريقته الفظة، وإجاباته، وردود فعله للمسافرين، وكلما طلبنا منه شيئا ضروري كخدمك الانترنت لنخبر أهلنا أو عملنا كان يرفض، ويقول هذا ليش شأني، ثم طلبنا طعاما، ولم يستجب حتى الآن بعد مرور ٣ ساعات، وحين سألته عن رحلتي التالية كيف ستتم برمجتها؟ لم يعطني إجابة، ثم بعد ساعة قال غالبا ستنتظر الرحلة التالية لكل واحد من الركاب الذين سيواصلون رحلتهم حتى وصوله.هذا أمر غير مقبول، ويستدعي التحقيق فيه، وحل مشكلات المسافرين، وأنا سيلحقني ضرر في أعمالي، يتطلب من العربية تعويضي عنه", Delhi to Amman via Sharjah,2,2,air-arabia,did not answer our inquiries,Business,Trip Verified,1,0,392ea3c7-578c-4e4a-a2ce-65bc373b3ef2
,Air Arabia,Economy Class,Feb-20,1st March 2020,1,0,1,India,1,no,"Chennai to Salalah via Sharjah. Worst airline ever travelled, flight delayed by half an hour in Chennai because of that I lost my connection flight to Salalah. Had to wait 10 hours for next connecting flight, didn't even provided a provision stay. This is second time it happened like this with this airline. I'll never use this airline again.",Chennai to Salalah via Sharjah,1,1,air-arabia,never use this airline again,Solo Leisure,Trip Verified,1,0,aa97953c-8f1e-417c-99e9-0e6d11127d01
A330-300  A321,Air Arabia,Economy Class,Dec-19,10th February 2020,0,1,1,Thailand,1,no,"Cairo to Sharjah was delayed more than an hour. From Sharjah to Dhaka was delayed more than an hour too. No internet, no screen in front. There was food services from Cairo to Sharjah but no food from Sharjah to Dhaka (almost 5 hours), food had to be purchased by cash UAE dirhams. Very rude ground staff in Cairo, Sharjah, Dhaka. They do not consider that everyone pays for his/her own trip, so every passenger must be a valued customer for the airline. I will never travel Air Arabia next time for sure.",Cairo to Dhaka via Sharjah,2,2,air-arabia,"No internet, no screen in front",Solo Leisure,Trip Verified,1,0,9a9d8bca-9d2d-4f2e-a9b2-3e9c7faf1738
A321,Air Arabia,Economy Class,Feb-20,7th February 2020,1,1,1,Pakistan,1,no,Pathetic service. I was travelling from Riyadh to Sialkot via Sharjah. The first flight was good but the flight from Sharjah to Sialkot was changed at the time of issuing boarding pass and without any prior notification. Total 13 hours extra was spend to at Sharjah airport.,Riyadh to Sialkot via Sharjah,1,1,air-arabia,Pathetic service,Solo Leisure,Trip Verified,1,1,50afa23d-cc8d-44a6-85c9-8b02d43fe173
A320 & Boeing 757-200,Air Astana,Economy Class,Jun-19,28th June 2019,0,4,4,UnitedStates,9,yes,"I have never been so positively shocked by any other airline in my life! I've heard nothing but good things about Air Astana, but my experience even exceeded those high expectations. On the 2hr45m trip from Baku to Almaty, there was a full amenity kit provided (that which rivals those on transatlantic routes) ear plugs, pen, toothbrush and toothpaste, lotion, comb, eye mask, and socks! Small candies were provided before takeoff on both flights. The meal provided from Baku to Almaty was average (it's always a risk coming from a city which isn't a hub.) On the Almaty-Bishkek leg, water was provided before takeoff, as it's a less than 1 hour-long flight. The cabin crew were so pleasant and well spoken in Kazakh, Russian, and English, and the pilots gave beautifully detailed and eloquent messages in all three languages as well. Seats were average, but I didn't mind with all of the other services provided. Important - Row 14 on the 757-200 aircraft has no window, so please take caution when reserving seats. All in all, I would go out of my way to fly Air Astana again!",Baku to Bishkek via Almaty,4,5,air-astana,would go out of my way to fly Air Astana again,Solo Leisure,Trip Verified,5,0,86e0b0fc-ef29-4872-93f7-7c91ff53017a
E90,Air Astana,Economy Class,May-19,26th June 2019,0,5,4,Ireland,10,yes,Nur Sultan to Shymkent. Extremely nice experience. Food and drinks served on short flight all included in the ticket price. Cabin crew very friendly and professional.,Nur Sultan to Shymkent,5,5,air-astana,friendly and professional,Business,Trip Verified,5,0,a2a10be6-44df-4b7a-b286-9fa77082cae8
,Air Astana,Economy Class,Jun-19,19th June 2019,4,3,5,Qatar,6,yes,"Almaty to Istanbul. Please review your Cabin crew training program. KC 911 on 17/06 delayed for 30 mins. Actually there were at least 3 flights, which were delayed around of this time. Ground staff of Air Astana did excellent work. Even though it was crowded, they handle situation professionally. 5 star to Ground staff. (Except of one thing. Lady on the check-in counter told me, that there is no delay of the flight, when actually it was a delay for 30 mins. I mean, not a big deal and most probably delay wasn't announced to staff at that moment. But fact is fact, I would rather spend 30 mins with my beloved ones, instead of crowded ""transit"" area (if you can call Almaty airport hall a transit area)). Real bad experience starting with announcement of the flight. Not sure, whose fault it is, airport or airline, but should be sorted. You can not hear, what staff announced, it is simply hard to understand about which flight she was talking about. Sound had a really bad quality. Waiting area was crowded and too loud. Almaty airport is very old and small. It should be replaced a long time ago. The reason, why I'm leaving this comment are cabin crew. Seriously guys, you need to review your politics and training program. As a constant customer, you can see how quality is going down. If Supervisors and business class crew are still on track, your junior/economy staff is losing a mark. Crew was rude. They commanded to do procedures, before take off and when customers (who may never flew before) looked for explanation, the answers were very sharp and again rude.  Crew responded with single words, time to time mixing it with Russian, and it was obvious that it was hard for them to express themselves in single sentence.  They gave an option of two meals, as usual chicken and beef. However during serving, crew literally served us without asking anything. When someone noticed, that they would prefer beef, crew responded, that she would prefer beef as well, but what is left is left. Same crew complained, that she has to wait for customers when all of them visit restroom, and because of what she is not able to serve the rest, who were keep calling her.",Almaty to Istanbul,4,1,air-astana,review Cabin crew training,Solo Leisure,Trip Verified,2,0,3e905bd9-4abb-45f2-9870-6ab4141cc21d
Boeing 767,Air Astana,Business Class,Jun-19,14th June 2019,4,5,5,Germany,9,yes,"Nur Sultan to Frankfurt. In every sense a 4 Star experience. As a frequent traveller it was my first 4 flights from FRA to ALA via TSE and back and I was impressed. An excellent product with attention to detail. The presentation and quality of the inflight catering in my opinion is slightly above a 4 star carrier. Great airline,great product.",Nur Sultan to Frankfurt,4,4,air-astana,a 4 Star experience,Business,Trip Verified,4,0,8fd30423-0340-459d-95bf-b556d4aa8d4f
Boeing 737,Aeromexico,Economy Class,Feb-23,20th February 2023,3,2,1,UnitedStates,1,no,"Attitude is terrible, not only on board services, my luggage was damaged and there are few holes on my backpack and the staff at baggage claim asked us to find the on duty supervisor. The female supervisor was annoying when reached to us and ask ""who asked you to find me""? She found some staff to do the baggage claim application but returned around 5 minutes later and just irritating us by poor attitude saying ‘actually these are ONLY VERY minor damage compared to others damaged luggage, it is not totally tear apart you cannot use it.’ What kind of service is this?",Cancun to San Francisco via Mexico city,2,1,aeromexico,Attitude is terrible,Couple Leisure,Trip Verified,1,1,7f3e6744-3abd-4817-8915-ae490d638fa7
,Aeromexico,Business Class,Feb-23,10th February 2023,0,0,1,UnitedStates,1,no,Premier class or whatever they call it is a complete waste. They give you the same uncomfortable seats and only put a bulky divider in the middle seat that they won’t allow you to remove. Especially if traveling as a couple it’s better just to have economy and sit next to each other.,Mexico City to Los Cabos,1,1,aeromexico,the same uncomfortable seats,Couple Leisure,Trip Verified,1,0,6934ce2d-5602-4ecb-80f5-194817ea8d90
,Aeromexico,Economy Class,Oct-22,9th January 2023,1,1,1,UnitedStates,1,no,"My family planned a trip to Oaxaca end of October, flight was delayed 4 hours caused by the mechanics of the plane. The delay caused us to miss our connecting flight in Mexico City. They then had no flights for more than a week that they could get us on. They'd take us to Mexico City and no guarantee they'd be able to get us to our destination! They wouldn't give us a refund at the airport, told us we needed to call the customer service! So I have, 3 times! Each time they tell me they can't help and for me to email. That I can only get a refund if I email. I've emailed 3 times since October and never get a return email. Don't fly Aeromexico. They don't value customer service or their commitment to get you where you paid them to take you! Just disgusting service!",Dallas to Oaxaca via Mexico City,1,1,aeromexico,Just disgusting service,Family Leisure,Trip Verified,1,1,3c0416b7-fbaa-49a7-b878-d1e8d1d2984a
Boeing 737-800,Aeromexico,Premium Economy,Dec-22,7th January 2023,1,1,4,UnitedStates,2,no,,Seattle to Mexico City,3,1,aeromexico,"Such a bogus airline"" ",Family Leisure,Not Verified,3,1,902acf48-00dd-4d91-93ed-ff0183dcc5ba
Boeing 737-800,Aeromexico,Economy Class,Dec-22,28th December 2022,2,2,1,UnitedStates,1,no,"Terrible experience with Aeromexico in Mexico City, flight number AM 378, on December 28, 2022. First of all they don’t even board by zones, and second thing I was on zone 3 along side with my wife I paid for the seats I was in. I wasn’t even ask to gate check my bag and one of the staff member just pulled me aside and took my bag without asking what zone I was in and than proceed to throw the tag at me, really bad experience with Aeroméxico will not recommend.",Mexico City to San José Cabo ,2,2,aeromexico,really bad experience,Couple Leisure,Trip Verified,2,1,2960708b-80a7-47bb-b65c-edeb981dfd13
A320ceo,Aegean Airlines,Economy Class,Apr-23,30th April 2023,0,3,5,Greece,8,yes,"Delay due to aircraft controllers. There was 1 hour delay due to late arrival of the airplane. Plane was an A320ceo on a good condition. Fully booked flight on economy, only one person on business. Crew was friendly and helpful moving luggage to the bins. No IFE only drop down screens where you can watch the flight path. Inflight service was consisted of ham or vegetable sandwich and a digestive bar with alcoholic drink/beer/beverage.",Tirana to Athens,4,5,aegean-airlines,Crew was friendly and helpful,Couple Leisure,Trip Verified,5,0,545db261-6abf-4276-a633-e4086a5df216
A321 Neo,Aegean Airlines,Economy Class,Apr-23,26th April 2023,3,5,5,CzechRepublic,10,yes,"Aegean Airlines will remain always my first choice and my favorite airline. The best Airline in Europe without any doubt. Cabin crew are so helpful, patient and supportive. Please keep up the excellent work and I hope that Aegean will make long haul flights soon.",Prague to Cairo via Athens,5,5,aegean-airlines,Please keep up the excellent work,Solo Leisure,Trip Verified,5,4,1b7d2256-3309-44c9-887a-a63185d7415f
A321 Neo,Aegean Airlines,Economy Class,Apr-23,23rd April 2023,0,5,4,UnitedKingdom,9,yes,"Aegean Airlines Economy Class LHR-ATH (and back). Aegean have kept up the high standards and are the best airline flying from the UK to Greece. Two rounds of drinks, a snack and a meal comparable to the pre-Covid catering level. This is far above any other airline's offering on this route. The inflight magazine provides detailed guides to places in Greece and I was able to track the flight's progress via wi-fi. That said, I miss the overhead screens with the moving map! Friendly crew and comfortable leg room on the A321NEO, flights on time or ahead of schedule both legs.",Athens to London,4,5,aegean-airlines,kept up the high standards,Solo Leisure,Trip Verified,4,4,698f9c5b-599f-467d-86cf-bf7e396b4c3f
,Aegean Airlines,Economy Class,Apr-23,20th April 2023,0,1,1,Indonesia,1,no,"This was my first time flying with Aegean, and my experience was anything but pleasant. Starting from when I checked-in at the counter, I have an SA Gold member where I get 20kg of free luggage, but the staff there says I have to pay another 45 Eur even though it should be free, and I explained that I have SA Gold and it should be free because I had a return ticket and I got 20kg free but the staff didn't care but tore the baggage tag in front of me and told me to go to the ticket agent at the airport, luckily the agent helped me a little bit to help me input manually, even though my status was still valid instead will be extended until next year. The second problem was when I was about to board in Athens, when it was my turn they stopped me and asked for a Moroccan visa or residence permit, I said my passport didn't need a visa to Morocco for up to 3 months and I even gave him a look at the Moroccan visa policy and he really didn't care.",Belgrade to Marrakech via Athens,1,1,aegean-airlines,my experience was anything but pleasant,Solo Leisure,Trip Verified,1,0,fe9930a4-b954-4bcd-968a-ec70e19e22ce
,Aegean Airlines,Economy Class,Mar-23,7th April 2023,0,2,1,Greece,1,no,"The flight I was on for returning to Athens on 15 March was cancelled. We were informed this was due to weather. Passengers were told initially that the flight was delayed by 30 minutes, then another delay announcement just as passengers were getting emails informing of flight cancellation. The ground crew were poor at making sure there was clarity in their announcements. I went up to a staff member when most people who appeared to be Corfu residents had just gone home, and asked was there any hotel booking arrangements - ""No"", any hotel used in such circumstances, don't know, any cost max, don't know, what about meals, don't know. Reclaiming? - ""you have to go to Aegean office in Athens"". I spoke to a British Corfu resident who said most expensive hotel open was Corfu Palace. I chose to go somewhere with a little better location and not so expensive. I then found out from the lady that just after I left, she was told that anyone needing a hotel could go to the Corfu Palace and all meals etc were covered and no need to pay. So, overall great experience - really well done ground crew: vital information not provided on a timely basi. The later flight was full as the following day was a general strike in Greece - so 2 nights had to stay in Corfu. On return flight cabin crew tolfd me there was no issue with the weather, the aircraft had a fault that could not be fixed in Corfu. Aegean states 10 days to get back to passenger with complaint, it is now 19 days.  It is now 19 days and not a word from Aegean. This was my 3rd flight with Aegean. Their aircraft seem better than Sky Express their competitor, but my experience has really turned me off Aegean.",Corfu to Athens,3,3,aegean-airlines,The ground crew were poor,Solo Leisure,Trip Verified,2,0,ef4ed96f-2f50-49a7-8956-ac4dff37cdd9
